 ---------------------------------------------------------------
 Surface and Strip Forces by surface

  Forces referred to Sref, Cref, Bref about Xref, Yref, Zref
 Standard axis orientation,  X fwd, Z down         

  Surface # 1     Wing                                    
     # Chordwise = 20   # Spanwise = 20     First strip =  1
     Surface area =    0.456020       Ave. chord =    0.456020
     CLsurf  =   0.46022     Clsurf  =  -0.09772
     CYsurf  =   0.00775     Cmsurf  =  -0.10238
     CDsurf  =   0.02052     Cnsurf  =   0.00884
     CDisurf =   0.02052     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =   0.92050     CDsurf  =   0.04105
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    39  -0.9269   0.3332   0.0162   0.1951   0.0888   0.5953   0.5883   0.0397   0.0000  -0.2086   0.3550    0.605
    40  -0.9756   0.3110   0.0152   0.1326   0.1135   0.4338   0.4287   0.0325   0.0000  -0.1652   0.2718    0.635

  Surface # 3     EH                                      
     # Chordwise = 10   # Spanwise = 20     First strip = 41
     Surface area =    0.146450       Ave. chord =    0.292900
     CLsurf  =  -0.06736     Clsurf  =   0.00729
     CYsurf  =   0.00000     Cmsurf  =   0.10238
     CDsurf  =  -0.00226     Cnsurf  =  -0.00059
     CDisurf =  -0.00226     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =  -0.41953     CDsurf  =  -0.01410
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    41   0.0196   0.2928   0.0115  -0.1500  -0.0050  -0.5138  -0.5138  -0.0183   0.0000  -0.0001   0.1280    0.250
    42   0.0588   0.2928   0.0114  -0.1493  -0.0053  -0.5116  -0.5116  -0.0178   0.0000  -0.0002   0.1273    0.250
    43   0.0975   0.2928   0.0113  -0.1481  -0.0059  -0.5073  -0.5073  -0.0203   0.0000  -0.0005   0.1259    0.249
    44   0.1357   0.2929   0.0111  -0.1461  -0.0067  -0.5006  -0.5006  -0.0188   0.0000  -0.0009   0.1238    0.248
    45   0.1731   0.2929   0.0108  -0.1435  -0.0078  -0.4915  -0.4915  -0.0182   0.0000  -0.0015   0.1210    0.247
    46   0.2093   0.2929   0.0104  -0.1401  -0.0091  -0.4799  -0.4799  -0.0177   0.0000  -0.0022   0.1175    0.246
    47   0.2443   0.2929   0.0100  -0.1360  -0.0105  -0.4656  -0.4656  -0.0159   0.0000  -0.0030   0.1131    0.244
    48   0.2778   0.2929   0.0096  -0.1310  -0.0121  -0.4485  -0.4485  -0.0146   0.0000  -0.0039   0.1079    0.241
    49   0.3095   0.2929   0.0090  -0.1251  -0.0136  -0.4284  -0.4284  -0.0147   0.0000  -0.0048   0.1020    0.239
    50   0.3394   0.2929   0.0084  -0.1183  -0.0149  -0.4051  -0.4051  -0.0124   0.0000  -0.0058   0.0952    0.236
    51   0.3672   0.2929   0.0078  -0.1106  -0.0162  -0.3788  -0.3788  -0.0122   0.0000  -0.0068   0.0876    0.232
    52   0.3927   0.2930   0.0071  -0.1020  -0.0172  -0.3492  -0.3492  -0.0106   0.0000  -0.0076   0.0794    0.228
    53   0.4157   0.2930   0.0064  -0.0925  -0.0181  -0.3164  -0.3164  -0.0077   0.0000  -0.0083   0.0706    0.224
    54   0.4362   0.2930   0.0056  -0.0821  -0.0189  -0.2809  -0.2809  -0.0066   0.0000  -0.0086   0.0614    0.219
    55   0.4541   0.2930   0.0048  -0.0709  -0.0197  -0.2426  -0.2426  -0.0040   0.0000  -0.0086   0.0519    0.215
    56   0.4691   0.2930   0.0040  -0.0591  -0.0205  -0.2020  -0.2020  -0.0030   0.0000  -0.0081   0.0423    0.210
    57   0.4812   0.2930   0.0031  -0.0466  -0.0213  -0.1593  -0.1593  -0.0021   0.0000  -0.0071   0.0326    0.205
    58   0.4904   0.2930   0.0022  -0.0336  -0.0221  -0.1150  -0.1150  -0.0007   0.0000  -0.0057   0.0231    0.201
    59   0.4965   0.2930   0.0014  -0.0203  -0.0226  -0.0695  -0.0695  -0.0001   0.0000  -0.0037   0.0137    0.197
    60   0.4996   0.2930   0.0005  -0.0068  -0.0228  -0.0232  -0.0232   0.0001   0.0000  -0.0013   0.0045    0.195

  Surface # 4     EH (YDUP)                               
     # Chordwise = 10   # Spanwise = 20     First strip = 61
     Surface area =    0.146450       Ave. chord =    0.292900
     CLsurf  =  -0.06736     Clsurf  =  -0.00729
     CYsurf  =  -0.00000     Cmsurf  =   0.10238
     CDsurf  =  -0.00226     Cnsurf  =   0.00059
     CDisurf =  -0.00226     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =  -0.41953     CDsurf  =  -0.01410
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    61  -0.0196   0.2928   0.0115  -0.1500  -0.0050  -0.5138  -0.5138  -0.0183   0.0000  -0.0001  -0.1280    0.250
    62  -0.0588   0.2928   0.0114  -0.1493  -0.0053  -0.5116  -0.5116  -0.0178   0.0000  -0.0002  -0.1273    0.250
    63  -0.0975   0.2928   0.0113  -0.1481  -0.0059  -0.5073  -0.5073  -0.0204   0.0000  -0.0005  -0.1259    0.249
    64  -0.1357   0.2929   0.0111  -0.1461  -0.0067  -0.5006  -0.5006  -0.0188   0.0000  -0.0009  -0.1238    0.248
    65  -0.1731   0.2929   0.0108  -0.1435  -0.0078  -0.4915  -0.4915  -0.0182   0.0000  -0.0015  -0.1210    0.247
    66  -0.2093   0.2929   0.0104  -0.1401  -0.0091  -0.4799  -0.4799  -0.0177   0.0000  -0.0022  -0.1175    0.246
    67  -0.2443   0.2929   0.0100  -0.1360  -0.0105  -0.4656  -0.4656  -0.0159   0.0000  -0.0030  -0.1131    0.244
    68  -0.2778   0.2929   0.0096  -0.1310  -0.0121  -0.4485  -0.4485  -0.0146   0.0000  -0.0039  -0.1079    0.241
    69  -0.3095   0.2929   0.0090  -0.1251  -0.0136  -0.4284  -0.4284  -0.0147   0.0000  -0.0048  -0.1020    0.239
    70  -0.3394   0.2929   0.0084  -0.1183  -0.0149  -0.4051  -0.4051  -0.0124   0.0000  -0.0058  -0.0952    0.236
    71  -0.3672   0.2929   0.0078  -0.1106  -0.0162  -0.3788  -0.3788  -0.0122   0.0000  -0.0068  -0.0876    0.232
    72  -0.3927   0.2930   0.0071  -0.1020  -0.0172  -0.3492  -0.3492  -0.0106   0.0000  -0.0076  -0.0794    0.228
    73  -0.4157   0.2930   0.0064  -0.0925  -0.0181  -0.3164  -0.3164  -0.0077   0.0000  -0.0083  -0.0706    0.224
    74  -0.4362   0.2930   0.0056  -0.0821  -0.0189  -0.2809  -0.2809  -0.0066   0.0000  -0.0086  -0.0614    0.219
    75  -0.4541   0.2930   0.0048  -0.0709  -0.0197  -0.2426  -0.2426  -0.0040   0.0000  -0.0086  -0.0519    0.215
    76  -0.4691   0.2930   0.0040  -0.0591  -0.0205  -0.2020  -0.2020  -0.0030   0.0000  -0.0081  -0.0423    0.210
    77  -0.4812   0.2930   0.0031  -0.0466  -0.0213  -0.1593  -0.1593  -0.0021   0.0000  -0.0071  -0.0326    0.205
    78  -0.4904   0.2930   0.0022  -0.0336  -0.0221  -0.1150  -0.1150  -0.0007   0.0000  -0.0057  -0.0231    0.201
    79  -0.4965   0.2930   0.0014  -0.0203  -0.0226  -0.0695  -0.0695  -0.0001   0.0000  -0.0037  -0.0137    0.197
    80  -0.4996   0.2930   0.0005  -0.0068  -0.0228  -0.0232  -0.0232   0.0001   0.0000  -0.0013  -0.0045    0.195

  Surface # 5     EV                                      
     # Chordwise =  8   # Spanwise = 10     First strip = 81
     Surface area =    0.064000       Ave. chord =    0.200000
     CLsurf  =   0.00000     Clsurf  =   0.00000
     CYsurf  =   0.00000     Cmsurf  =   0.00000
     CDsurf  =   0.00000     Cnsurf  =  -0.00000
     CDisurf =   0.00000     CDvsurf =   0.00000

  Forces referred to Ssurf, Cave about hinge axis thru LE
     CLsurf  =  -0.00000     CDsurf  =   0.00000
     Deflect =

 Strip Forces referred to Strip Area, Chord
    j      Yle    Chord     Area     c cl      ai      cl_norm  cl       cd       cdv    cm_c/4    cm_LE  C.P.x/c
    81   0.0000   0.2000   0.0100  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.641
    82   0.0000   0.2000   0.0098  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.614
    83   0.0000   0.2000   0.0093  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.603
    84   0.0000   0.2000   0.0086  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.594
    85   0.0000   0.2000   0.0076  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.603
    86   0.0000   0.2000   0.0065  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.617
    87   0.0000   0.2000   0.0052  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.633
    88   0.0000   0.2000   0.0038  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.653
    89   0.0000   0.2000   0.0023  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.675
    90   0.0000   0.2000   0.0008  -0.0000  -0.0000  -0.0000  -0.0000   0.0000   0.0000   0.0000   0.0000    0.695
 ---------------------------------------------------------------
