G-01
 0.99968     0.01351
 0.99240     0.01725
 0.98013     0.02210
 0.96648     0.02681
 0.95167     0.03151
 0.93600     0.03615
 0.91973     0.04071
 0.90304     0.04517
 0.88606     0.04953
 0.86889     0.05379
 0.85162     0.05794
 0.83424     0.06202
 0.81674     0.06607
 0.79910     0.07007
 0.78136     0.07404
 0.76355     0.07799
 0.74570     0.08191
 0.72787     0.08581
 0.71003     0.08971
 0.69212     0.09361
 0.67419     0.09753
 0.65622     0.10149
 0.63826     0.10543
 0.62029     0.10940
 0.60233     0.11338
 0.58435     0.11736
 0.56637     0.12137
 0.54841     0.12535
 0.53048     0.12929
 0.51256     0.13318
 0.49473     0.13698
 0.47697     0.14064
 0.45929     0.14415
 0.44170     0.14750
 0.42418     0.15065
 0.40678     0.15356
 0.38952     0.15618
 0.37237     0.15850
 0.35532     0.16047
 0.33841     0.16202
 0.32163     0.16314
 0.30500     0.16377
 0.28852     0.16391
 0.27217     0.16352
 0.25596     0.16257
 0.23986     0.16102
 0.22395     0.15885
 0.20819     0.15605
 0.19261     0.15261
 0.17722     0.14855
 0.16204     0.14385
 0.14714     0.13851
 0.13254     0.13258
 0.11828     0.12606
 0.10444     0.11900
 0.09115     0.11143
 0.07851     0.10346
 0.06663     0.09516
 0.05570     0.08669
 0.04585     0.07823
 0.03723     0.06997
 0.02986     0.06206
 0.02371     0.05465
 0.01866     0.04782
 0.01456     0.04161
 0.01125     0.03601
 0.00858     0.03100
 0.00646     0.02648
 0.00475     0.02238
 0.00340     0.01866
 0.00239     0.01531
 0.00160     0.01224
 0.00101     0.00946
 0.00054     0.00691
 0.00024     0.00428
 0.00010     0.00197
 0.00000    -0.00010
 0.00008    -0.00156
 0.00025    -0.00393
 0.00063    -0.00604
 0.00141    -0.00821
 0.00251    -0.01028
 0.00404    -0.01229
 0.00601    -0.01402
 0.00850    -0.01544
 0.01144    -0.01651
 0.01482    -0.01722
 0.01868    -0.01759
 0.02306    -0.01768
 0.02808    -0.01752
 0.03388    -0.01706
 0.04066    -0.01629
 0.04867    -0.01512
 0.05819    -0.01346
 0.06947    -0.01127
 0.08257    -0.00855
 0.09737    -0.00535
 0.11350    -0.00184
 0.13052     0.00182
 0.14806     0.00542
 0.16588     0.00892
 0.18380     0.01222
 0.20175     0.01532
 0.21973     0.01822
 0.23769     0.02095
 0.25562     0.02350
 0.27352     0.02591
 0.29140     0.02820
 0.30930     0.03040
 0.32718     0.03252
 0.34505     0.03458
 0.36289     0.03653
 0.38068     0.03843
 0.39845     0.04026
 0.41620     0.04200
 0.43395     0.04368
 0.45171     0.04522
 0.46948     0.04669
 0.48725     0.04803
 0.50502     0.04925
 0.52280     0.05035
 0.54055     0.05132
 0.55830     0.05214
 0.57603     0.05281
 0.59375     0.05331
 0.61146     0.05359
 0.62915     0.05368
 0.64680     0.05354
 0.66440     0.05318
 0.68196     0.05258
 0.69947     0.05173
 0.71693     0.05066
 0.73434     0.04931
 0.75167     0.04769
 0.76893     0.04581
 0.78611     0.04366
 0.80318     0.04122
 0.82016     0.03849
 0.83703     0.03547
 0.85379     0.03214
 0.87042     0.02850
 0.88690     0.02456
 0.90321     0.02031
 0.91928     0.01577
 0.93507     0.01091
 0.95044     0.00581
 0.96524     0.00050
 0.97920    -0.00487
 0.99198    -0.01018
 0.99968    -0.01360
